Utstein Data Element,Formula,Variables to collect
The mean length of stay in days of “immediate category” survivors in the ICU,,Day of the successful transfer of each T1 survivor out of the ICU | Day of the admission of each T1 survivor in the ICU | Total number of T1 survivors successfully transferred out of the ICU
The median length of stay of “immediate category” survivors in the ICU,"Example: | ICU Admission Day: January 1 | T1 A  Transfer Out Day: January 2 = 1 day | T1 B Transfer Out Day: January 4 = 3 days | T1 C Transfer Out Day: January 6 = 5 days | Median of 1, 3, and 5 days = 3 days",Day of the successful transfer of each T1 survivor out of the ICU | Day of the admission of each T1 survivor in the ICU
The mean number of patient-days spent on a mechanical ventilator,,Day of the ventilation discontinuation of each survivor in the ICU | Day of the ventilation initiation of each survivor in the ICU | Total number of survivors successfully discontinued from a mechanical ventilator
The median of total number of patient-days spent on a mechanical ventilator,"Example: | Ventilation Initiation Day: January 1 | Patient A Discontinuation Day: January 2 = 1 day | Patient B Discontinuation Day: January 4 = 3 days | Patient C Discontinuation Day: January 6 = 5 days | Median of 1, 3, and 5 days = 3 days",Day of the ventilation discontinuation of each survivor in the ICU | Day of the ventilation initiation of each survivor in the ICU
The mean length of hospital stay in days of ill/injured survivors,,Day of the hospital discharge of each survivor | Day of the hospital admission of each survivor | Total number of survivors successfully discharged from the hospital
The median length of hospital stay of ill/injured survivors,"Example: | Hospital Admission Day: January 1 | Patient A Discharge Day: January 2 = 1 day | Patient B Discharge Day: January 4 = 3 days | Patient C Discharge Day: January 6 = 5 days | Median of 1, 3, and 5 days = 3 days",Day of the hospital discharge of each survivor | Day of the hospital admission of each survivor
Mortality,Mortality,Mortality
Percentage of impact deaths within the total population of disaster victims,,Number of disaster victims who died before experiencing any medical contact/intervention | Disposition before hospital arrival: | Dead: Yes/No | If Yes: With/Without medical contact | Total number of disaster victims
Percentage of pre-hospital deaths within the total population of disaster victims,,Number of disaster victims who experienced any medical contact/intervention but died before reaching the hospital | Disposition before hospital arrival: | Dead: Yes/No | If Yes: With/Without medical contact | Total number of disaster victims
In-hospital deaths within the total population of disaster victims,,Number of disaster victims who died within the hospital premises after reaching the hospital | Disposition after hospital arrival: | Reached the hospital: Yes/No | If Yes: In active care/Dead | Total number of disaster victims
“Immediate category” deaths within the total population of “immediate category” survivors,,Number of dead T1 victims | Total number of T1 victims
